College,Branch,Category,ClosingRank,Percentile,CollegeShort
"Adarsh Shikshan Prasarak Mandal's K. T. Patil College of Engineering and Technology, Osmanabad",CSE,GSEBCH,160746,21.472809,Adarsh Shikshan Prasarak Mandal's K. T. Patil College of Engineering and Technology
"Adarsh Shikshan Prasarak Mandal's K. T. Patil College of Engineering and Technology, Osmanabad",CSE,LOBCH,159138,22.5662265,Adarsh Shikshan Prasarak Mandal's K. T. Patil College of Engineering and Technology
"Adarsh Shikshan Prasarak Mandal's K. T. Patil College of Engineering and Technology, Osmanabad",CSE,LOPENH,127540,46.3657898,Adarsh Shikshan Prasarak Mandal's K. T. Patil College of Engineering and Technology
"Adarsh Shikshan Prasarak Mandal's K. T. Patil College of Engineering and Technology, Osmanabad",CSE,LSCH,176378,4.7766958,Adarsh Shikshan Prasarak Mandal's K. T. Patil College of Engineering and Technology
"Aditya Education Trust's Mitthulalji Sarada Polytechnic, Nalwandi Road, Beed",Computer Engineering,GNT2H,175590,5.825722,Aditya Education Trust's Mitthulalji Sarada Polytechnic
"Aditya Education Trust's Mitthulalji Sarada Polytechnic, Nalwandi Road, Beed",Computer Engineering,GNT2O,133544,42.725346,Aditya Education Trust's Mitthulalji Sarada Polytechnic
"Aditya Education Trust's Mitthulalji Sarada Polytechnic, Nalwandi Road, Beed",Computer Engineering,GNT3O,131811,43.8452614,Aditya Education Trust's Mitthulalji Sarada Polytechnic
"Aditya Education Trust's Mitthulalji Sarada Polytechnic, Nalwandi Road, Beed",Computer Engineering,GOBCH,173922,7.8241614,Aditya Education Trust's Mitthulalji Sarada Polytechnic
"Aditya Education Trust's Mitthulalji Sarada Polytechnic, Nalwandi Road, Beed",Computer Engineering,GOBCO,147745,32.1785112,Aditya Education Trust's Mitthulalji Sarada Polytechnic
"Aditya Education Trust's Mitthulalji Sarada Polytechnic, Nalwandi Road, Beed",Computer Engineering,GOPENH,169915,12.5620266,Aditya Education Trust's Mitthulalji Sarada Polytechnic
"Aditya Education Trust's Mitthulalji Sarada Polytechnic, Nalwandi Road, Beed",Computer Engineering,GOPENO,127142,46.3828235,Aditya Education Trust's Mitthulalji Sarada Polytechnic
"Aditya Education Trust's Mitthulalji Sarada Polytechnic, Nalwandi Road, Beed",Computer Engineering,GSCH,178422,1.8201463,Aditya Education Trust's Mitthulalji Sarada Polytechnic
"Aditya Education Trust's Mitthulalji Sarada Polytechnic, Nalwandi Road, Beed",Computer Engineering,GSCO,171607,10.4465918,Aditya Education Trust's Mitthulalji Sarada Polytechnic
"Aditya Education Trust's Mitthulalji Sarada Polytechnic, Nalwandi Road, Beed",Computer Engineering,GVJH,175349,6.1920774,Aditya Education Trust's Mitthulalji Sarada Polytechnic
"Aditya Education Trust's Mitthulalji Sarada Polytechnic, Nalwandi Road, Beed",Computer Engineering,GVJO,127197,46.3828235,Aditya Education Trust's Mitthulalji Sarada Polytechnic
"Aditya Education Trust's Mitthulalji Sarada Polytechnic, Nalwandi Road, Beed",Computer Engineering,LOBCO,178124,2.34375,Aditya Education Trust's Mitthulalji Sarada Polytechnic
"Aditya Education Trust's Mitthulalji Sarada Polytechnic, Nalwandi Road, Beed",Computer Engineering,LOPENH,145103,34.5790896,Aditya Education Trust's Mitthulalji Sarada Polytechnic
"Aditya Education Trust's Mitthulalji Sarada Polytechnic, Nalwandi Road, Beed",Computer Engineering,LOPENO,141535,36.9291471,Aditya Education Trust's Mitthulalji Sarada Polytechnic
"Aditya Education Trust's Mitthulalji Sarada Polytechnic, Nalwandi Road, Beed",IT,GNT1O,136569,40.2848342,Aditya Education Trust's Mitthulalji Sarada Polytechnic
"Aditya Education Trust's Mitthulalji Sarada Polytechnic, Nalwandi Road, Beed",IT,GOBCO,140375,38.0295157,Aditya Education Trust's Mitthulalji Sarada Polytechnic
"Aditya Education Trust's Mitthulalji Sarada Polytechnic, Nalwandi Road, Beed",IT,GOPENO,133878,42.2216419,Aditya Education Trust's Mitthulalji Sarada Polytechnic
"Aditya Education Trust's Mitthulalji Sarada Polytechnic, Nalwandi Road, Beed",IT,GSCO,162248,20.1344161,Aditya Education Trust's Mitthulalji Sarada Polytechnic
"Aditya Education Trust's Mitthulalji Sarada Polytechnic, Nalwandi Road, Beed",IT,LOPENO,99343,62.7216425,Aditya Education Trust's Mitthulalji Sarada Polytechnic
"Aditya Engineering College , Beed",CSE,GNT1O,176705,4.2265169,Aditya Engineering College 
"Aditya Engineering College , Beed",CSE,GNT2H,118183,52.0276576,Aditya Engineering College 
"Aditya Engineering College , Beed",CSE,GNT3H,130608,44.4778985,Aditya Engineering College 
"Aditya Engineering College , Beed",CSE,GOBCH,139977,38.5392182,Aditya Engineering College 
"Aditya Engineering College , Beed",CSE,GOBCO,138954,38.8659877,Aditya Engineering College 
"Aditya Engineering College , Beed",CSE,GOPENH,110706,56.5649954,Aditya Engineering College 
"Aditya Engineering College , Beed",CSE,GOPENO,117118,52.5184688,Aditya Engineering College 
"Aditya Engineering College , Beed",CSE,GSCH,157992,24.0471793,Aditya Engineering College 
"Aditya Engineering College , Beed",CSE,GSCO,136884,40.1585977,Aditya Engineering College 
"Aditya Engineering College , Beed",CSE,GSEBCH,115743,53.7424491,Aditya Engineering College 
"Aditya Engineering College , Beed",CSE,GVJH,147990,32.0977394,Aditya Engineering College 
"Aditya Engineering College , Beed",CSE,LNT2H,122120,50.0353239,Aditya Engineering College 
"Aditya Engineering College , Beed",CSE,LOPENH,115526,53.7694785,Aditya Engineering College 
"Aditya Engineering College , Beed",CSE,LOPENO,138403,39.0541888,Aditya Engineering College 
"Aditya Engineering College , Beed",CSE,LSCH,153988,27.5123271,Aditya Engineering College 
"Aditya Engineering College , Beed",Civil,GNT1H,131179,43.9565943,Aditya Engineering College 
"Aditya Engineering College , Beed",Civil,GNT2O,174556,6.8903978,Aditya Engineering College 
"Aditya Engineering College , Beed",Civil,GOBCH,160160,22.0578726,Aditya Engineering College 
"Aditya Engineering College , Beed",Civil,GOBCO,169033,13.5903735,Aditya Engineering College 
"Aditya Engineering College , Beed",Civil,GOPENH,121634,50.0957604,Aditya Engineering College 
"Aditya Engineering College , Beed",Civil,GOPENO,128501,45.5784574,Aditya Engineering College 
"Aditya Engineering College , Beed",Civil,GSCH,158819,22.974757,Aditya Engineering College 
"Aditya Engineering College , Beed",Civil,GSCO,142308,36.6283954,Aditya Engineering College 
"Aditya Engineering College , Beed",Civil,GVJH,150888,29.6395567,Aditya Engineering College 
"Aditya Engineering College , Beed",Civil,LOPENH,161622,20.9410678,Aditya Engineering College 
"Aditya Engineering College , Beed",Civil,LOPENO,159725,22.2282247,Aditya Engineering College 
"Aditya Engineering College , Beed",Civil,LSCH,169024,13.5903735,Aditya Engineering College 
"Aditya Engineering College , Beed",Electrical,GNT2H,144363,34.8626522,Aditya Engineering College 
"Aditya Engineering College , Beed",Electrical,GNT3H,166941,15.5975889,Aditya Engineering College 
"Aditya Engineering College , Beed",Electrical,GOBCH,166895,15.5975889,Aditya Engineering College 
"Aditya Engineering College , Beed",Electrical,GOPENH,143597,35.3791065,Aditya Engineering College 
"Aditya Engineering College , Beed",Electrical,GSCH,166893,15.5975889,Aditya Engineering College 
"Aditya Engineering College , Beed",Electrical,GSTH,174719,6.7863525,Aditya Engineering College 
"Aditya Engineering College , Beed",Electrical,LOPENH,113703,54.3568289,Aditya Engineering College 
"Aditya Engineering College , Beed",IT,GNT1H,144734,34.805294,Aditya Engineering College 
"Aditya Engineering College , Beed",IT,GNT2H,165841,16.3513698,Aditya Engineering College 
"Aditya Engineering College , Beed",IT,GNT3O,136194,40.7306838,Aditya Engineering College 
"Aditya Engineering College , Beed",IT,GOBCH,176204,4.9090228,Aditya Engineering College 
"Aditya Engineering College , Beed",IT,GOBCO,137114,40.1066152,Aditya Engineering College 
"Aditya Engineering College , Beed",IT,GOPENH,114037,54.1800379,Aditya Engineering College 
"Aditya Engineering College , Beed",IT,GOPENO,113216,54.7526673,Aditya Engineering College 
"Aditya Engineering College , Beed",IT,GSCH,149306,30.9687071,Aditya Engineering College 
"Aditya Engineering College , Beed",IT,GSCO,153058,27.9969458,Aditya Engineering College 
"Aditya Engineering College , Beed",IT,LNT1H,138701,38.8849565,Aditya Engineering College 
"Aditya Engineering College , Beed",IT,LOBCH,145157,34.5790896,Aditya Engineering College 
"Aditya Engineering College , Beed",IT,LOPENH,120869,50.6340761,Aditya Engineering College 
"Aditya Engineering College , Beed",IT,LOPENO,116922,52.814879,Aditya Engineering College 
"Aditya Engineering College , Beed",IT,LVJO,133809,42.2216419,Aditya Engineering College 
"Aditya Engineering College , Beed",IT,PWDOPENH,151742,28.8690743,Aditya Engineering College 
"Adsul's Technical Campus, Chas Dist. Ahmednagar",Artificial Intelligence and Data Science,GNT2H,122496,49.6193645,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",Artificial Intelligence and Data Science,GNT3H,122316,49.7949643,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",Artificial Intelligence and Data Science,GOBCH,127834,46.3188381,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",Artificial Intelligence and Data Science,GOPENH,121169,50.6004122,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",Artificial Intelligence and Data Science,GSCH,164416,18.1477824,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",Artificial Intelligence and Data Science,LNT2H,150896,29.6395567,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",Artificial Intelligence and Data Science,LOPENH,100448,61.3261708,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",Artificial Intelligence and Data Science,LSCH,116681,52.9935209,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",Computer Engineering,GNT1H,158945,22.5662265,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",Computer Engineering,GNT1O,129627,45.3423263,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",Computer Engineering,GNT2H,129615,45.3423263,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",Computer Engineering,GNT2O,150788,30.3265615,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",Computer Engineering,GNT3H,114270,54.0859766,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",Computer Engineering,GNT3O,139032,38.8659877,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",Computer Engineering,GOBCH,123748,48.777949,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",Computer Engineering,GOBCO,148033,32.0977394,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",Computer Engineering,GOPENH,111953,55.2318816,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",Computer Engineering,GOPENO,119326,51.2170385,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",Computer Engineering,GSCH,165083,17.3380806,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",Computer Engineering,GSCO,132579,43.1231034,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",Computer Engineering,GSEBCH,136628,40.2848342,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",Computer Engineering,GSEBCO,151639,29.1560732,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",Computer Engineering,GVJH,129845,44.8929536,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",Computer Engineering,GVJO,145562,34.2191386,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",Computer Engineering,LNT2H,122647,49.6193645,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",Computer Engineering,LNT3H,113295,54.3920183,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",Computer Engineering,LOBCH,120920,50.6340761,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",Computer Engineering,LOBCO,169015,13.5903735,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",Computer Engineering,LOPENH,110582,56.846611,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",Computer Engineering,LOPENO,160203,22.0578726,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",Computer Engineering,LSCH,178804,1.2241469,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",Computer Engineering,LSEBCH,141817,36.6611018,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",Computer Engineering,LSTH,177072,3.8658496,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",Computer Engineering,LVJH,102446,60.2951569,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",Computer Engineering,PWDOPENH,179443,0.2624457,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",ENTC,GNT2H,142365,36.6283954,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",ENTC,GNT3H,128276,46.2784017,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",ENTC,GOBCH,139949,38.5392182,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",ENTC,GOPENH,128041,46.3188381,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",ENTC,GSCH,169965,12.5620266,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",ENTC,LOPENH,116568,52.9935209,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",ENTC,LVJH,143651,35.3791065,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",Electrical,GNT2H,175427,6.0443251,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",Electrical,GOBCH,162370,19.5522021,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",Electrical,GOPENH,150940,29.6395567,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",Electrical,GSCH,178702,1.4448099,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",Electrical,LNT2H,178633,1.5490684,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",Electrical,LNT3H,178911,1.1127111,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",Electrical,LOPENH,174290,7.3207233,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",IT,GNT2H,132676,43.1231034,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",IT,GNT3H,127789,46.3657898,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",IT,GOBCH,136086,40.7306838,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",IT,GOBCO,151225,29.3071786,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",IT,GOPENH,123855,48.6637821,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",IT,GOPENO,128875,45.521922,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",IT,GSCH,167705,14.7377685,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",IT,GSCO,169765,12.6044134,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",IT,GSEBCO,144651,34.805294,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",IT,GVJH,164000,18.5574725,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",IT,LOBCH,134579,42.1597155,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",IT,LOPENH,114068,54.1800379,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",IT,LOPENO,134002,42.2207447,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",IT,LSCH,131704,43.8452614,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",ME,GOBCH,171489,10.8656299,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",ME,GOPENH,141931,36.6611018,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",ME,GSCH,176156,4.9568966,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",ME,GVJH,159313,22.5020163,Adsul's Technical Campus
"Adsul's Technical Campus, Chas Dist. Ahmednagar",ME,LOPENH,161675,20.9410678,Adsul's Technical Campus
"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti",Artificial Intelligence (AI) and Data Science,GNT2H,85194,68.7156482,Ahmednagar Jilha Maratha Vidya Prasarak Samajache
"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti",Artificial Intelligence (AI) and Data Science,GNT3H,91034,65.8812284,Ahmednagar Jilha Maratha Vidya Prasarak Samajache
"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti",Artificial Intelligence (AI) and Data Science,GOBCH,84723,68.9053056,Ahmednagar Jilha Maratha Vidya Prasarak Samajache
"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti",Artificial Intelligence (AI) and Data Science,GOBCO,96751,63.2340107,Ahmednagar Jilha Maratha Vidya Prasarak Samajache
"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti",Artificial Intelligence (AI) and Data Science,GOPENH,83087,69.7604398,Ahmednagar Jilha Maratha Vidya Prasarak Samajache
"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti",Artificial Intelligence (AI) and Data Science,GOPENO,84030,69.275473,Ahmednagar Jilha Maratha Vidya Prasarak Samajache
"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti",Artificial Intelligence (AI) and Data Science,GSCH,151072,29.6395567,Ahmednagar Jilha Maratha Vidya Prasarak Samajache
"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti",Artificial Intelligence (AI) and Data Science,GSCO,85544,68.4737144,Ahmednagar Jilha Maratha Vidya Prasarak Samajache
"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti",Artificial Intelligence (AI) and Data Science,GSEBCH,101493,60.596742,Ahmednagar Jilha Maratha Vidya Prasarak Samajache
"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti",Artificial Intelligence (AI) and Data Science,GVJO,154242,27.4155342,Ahmednagar Jilha Maratha Vidya Prasarak Samajache
"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti",Artificial Intelligence (AI) and Data Science,LNT1H,148378,31.6884901,Ahmednagar Jilha Maratha Vidya Prasarak Samajache
"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti",Artificial Intelligence (AI) and Data Science,LNT2O,163024,19.2570952,Ahmednagar Jilha Maratha Vidya Prasarak Samajache
"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti",Artificial Intelligence (AI) and Data Science,LOBCH,82054,70.2544031,Ahmednagar Jilha Maratha Vidya Prasarak Samajache
"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti",Artificial Intelligence (AI) and Data Science,LOBCO,127621,46.3657898,Ahmednagar Jilha Maratha Vidya Prasarak Samajache
